ID	TARGET	TEXT	STANCE	CLEAN_SENTENCES	SEGMENT_SENTENCES
11	IphoneSE	听说黄屏，还好我没入坑。你们就当护眼模式吧 	AGAINST	听说黄屏 还好我没入坑 你们就当护眼模式吧 	听说,黄,屏,还好,我,没入,坑,你们,就,当,护眼,模式,吧
12	IphoneSE	很想尝试下iPhonese……	FAVOR	很想尝试下 	很,想,尝试,下
13	IphoneSE	终于等到小屏苹果了，一直想换手机，6S太大，5S想买个用，但是发现这个了以后就一直等着。	FAVOR	终于等到小屏苹果了 一直想换手机 太大 想买个用 但是发现这个了以后就一直等着 	终于,等到,小,屏,苹果,了,一直,想,换手,手机,太大,想买,个,用,但是,发现,这个,了,以后,就,一直,等,着
14	IphoneSE	最近几个月一直认为2016年二季度将是智能手机产业的一个中期的景气拐点。苹果应该是看到情形不妙，推出 iPhone SE清理 6s库存部件，顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE	最近几个月一直认为 年二季度将是智能手机产业的一个中期的景气拐点 苹果应该是看到情形不妙 推出 清理 库存部件 顺便向下打压中档安卓机市场 有些今年出货量目标定太高的公司 反应速度和库存管理能力差 会害死一大批自己的上游供应商 	最近,近几个月,几个,月,一直,认为,年,二季,二季度,季度,将,是,智能,智能手机,能手,手机,产业,的,一个,中期,的,景气,拐点,苹果,应该,该是,看到,情形,不妙,推出,清理,库存,部件,顺便,向下,打压,中档,安,卓,机,市场,有些,今年,出货,出货量,目标,标定,太,高,的,公司,反应,反应速度,速度,和,库存,管理,能力,能力差,会,害死,一大,一大批,大批,自己,的,上游,供应,供应商
15	IphoneSE	iPhone se 这价格诚意十足啊，准备入手	FAVOR	 这价格诚意十足啊 准备入手	这,价格,诚意,十足,啊,准备,入手
16	IphoneSE	我的评论来自SE，好轻，	FAVOR	我的评论来自 好轻 	我,的,评论,来自,好,轻
17	IphoneSE	值得拥有！	FAVOR	值得拥有 	值得,拥有
18	IphoneSE	很多人挺搞笑的，说苹果就必须要越造越大才有人买，那你怎么不干脆去买个电脑 买iphone6 plus纯属为了显摆有钱的大有人在，不想换plus的，不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR	很多人挺搞笑的 说苹果就必须要越造越大才有人买 那你怎么不干脆去买个电脑 买 纯属为了显摆有钱的大有人在 不想换 的 不是买不起 只是喜欢小屏而已 苹果出了 怎么就要被淘汰了 中国喜欢小屏的人多着呢	很多,人,挺,搞笑,的,说,苹果,就,必须,须要,越,造,越,大,才,有人,买,那,你,怎么,不,干脆,去,买,个,电脑,买,纯属,为了,显摆,有钱,的,大有人在,有人,在,不想,换,的,不是,买不起,只是,喜欢,小,屏,而已,苹果,出,了,怎么,就要,被,淘汰,了,中国,喜欢,小,屏,的,人,多着,多着呢
19	IphoneSE	我的今天刚到，周围是有点黄屏，不过不碍事哈哈哈	FAVOR	我的今天刚到 周围是有点黄屏 不过不碍事哈哈哈	我,的,今天,刚,到,周围,是,有点,黄,屏,不过,不碍,碍事,哈哈,哈哈哈,哈哈
20	IphoneSE	国人对于手机的用途还没达到必须用大屏的时代，小屏的优势还是很明显的，希望手机厂商都能理性回归吧。	FAVOR	国人对于手机的用途还没达到必须用大屏的时代 小屏的优势还是很明显的 希望手机厂商都能理性回归吧 	国人,对于,手机,的,用途,还,没,达到,必须,用,大,屏,的,时代,小,屏,的,优势,还是,很,明显,的,希望,手机,厂商,商都,能,理性,回归,吧
21	IphoneSE	说实话，很讨厌苹果的操作方式，很不方便。安卓一键回主屏，何其方便！苹果的屏幕已经够小了，还弄个小圆点，挡屏幕操作，又影响阅读感觉（逼死强迫症）	AGAINST	说实话 很讨厌苹果的操作方式 很不方便 安卓一键回主屏 何其方便 苹果的屏幕已经够小了 还弄个小圆点 挡屏幕操作 又影响阅读感觉 逼死强迫症 	说实话,实话,很,讨厌,苹果,的,操作,方式,很,不,方便,安,卓,一键,回,主,屏,何其,方便,苹果,的,屏幕,已经,够,小,了,还,弄,个,小圆点,圆点,挡,屏幕,操作,又,影响,阅读,感觉,逼死,强迫,强迫症
22	IphoneSE	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	FAVOR	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	系统,没得,没得说,苹果,做,的,就是,系统,开,了,很多,后台,依然,流畅,再好,的,安,卓,时间,长,了,照样,卡,成,屎
23	IphoneSE	刚开封一天的全新iphoneSE 4300买的 64g 3500到4000卖出 想要的快来找我	NONE	刚开封一天的全新 买的 到 卖出 想要的快来找我	刚,开封,封一,一天,的,全新,买,的,到,卖出,想要,的,快来,找,我
24	IphoneSE	iPhone SE发布第天，中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。	AGAINST	 发布第天 中国网民开始对这款 英寸设备进行集体吐槽 大量的微博评论直指 外观设计类似之前的 毫无新意 	发布,第,天,中国,中国网民,网民,开始,对,这款,英寸,设备,进行,集体,吐,槽,大量,的,微,博,评论,直指,外观,外观设计,设计,类似,之前,的,毫无,新意
25	IphoneSE	iphone SE 这配置…这价格…真的吧国产机秒的渣都不剩？还有什么理由不用它？因为没有情怀么？	FAVOR	 这配置 这价格 真的吧国产机秒的渣都不剩 还有什么理由不用它 因为没有情怀么 	这,配置,这,价格,真的,吧,国产,国产机,秒,的,渣,都,不剩,还有,什么,理由,不用,它,因为,没有,有情,情怀,么
26	IphoneSE	我的看法，iPhone6造型确实比不上前代作品，现在拿4来看依然时尚好看，双面玻璃反光时尚，但易碎，如果库克能在4的基础下进行改良，相信销售也不会下滑吧。关于SE我相信乔布斯不会出一样的产品	AGAINST	我的看法 造型确实比不上前代作品 现在拿 来看依然时尚好看 双面玻璃反光时尚 但易碎 如果库克能在 的基础下进行改良 相信销售也不会下滑吧 关于 我相信乔布斯不会出一样的产品	我,的,看法,造型,确实,比不上,上前,前代,作品,现在,拿,来看,依然,时尚,尚好,好看,双面,玻璃,反光,时尚,但,易碎,如果,库克,能,在,的,基础,下,进行,改良,相信,销售,也,不会,下滑,吧,关于,我,相信,乔布,乔布斯,布斯,不会,出,一样,的,产品
27	IphoneSE	很好的手机，性价比高，比国产好的没话说，国产一年一环 苹果用5年8年没事不卡不迟钝，黑粉们哪个牌子派来的去哪里带着去，有意思吗？不喜欢就不要买，到处乱喷 这就是素质。	FAVOR	很好的手机 性价比高 比国产好的没话说 国产一年一环 苹果用 年 年没事不卡不迟钝 黑粉们哪个牌子派来的去哪里带着去 有意思吗 不喜欢就不要买 到处乱喷 这就是素质 	很,好,的,手机,性价比,价比高,比高,比国,国产,好,的,没话说,国产,一年,一,环,苹果,用,年,年,没事,不,卡,不迟,迟钝,黑粉,们,哪个,牌子,派来,的,去,哪里,带,着,去,有意,有意思,意思,吗,不,喜欢,就,不要,买,到处,乱,喷,这,就是,素质
28	IphoneSE	可以换的！我一直都是官网买的，重来没出过问题机！	FAVOR	可以换的 我一直都是官网买的 重来没出过问题机 	可以,换,的,我,一直,都,是,官,网,买,的,重来,没出,出过,过问,问题,机
29	IphoneSE	手机中的小钢炮 大屏幕手机可能很多人喜欢 但是无意也会有喜欢小屏幕 高性能的手机 我觉得这是首选 价格上也比较合理	FAVOR	手机中的小钢炮 大屏幕手机可能很多人喜欢 但是无意也会有喜欢小屏幕 高性能的手机 我觉得这是首选 价格上也比较合理	手机,中,的,小钢炮,钢炮,大屏幕,屏幕,手机,可能,很多,人,喜欢,但是,无意,也,会,有喜,喜欢,小,屏幕,高性,高性能,性能,的,手机,我,觉得,这,是,首选,价格,上,也,比较,合理
30	IphoneSE	我相信随着iphone5se的发布 iphone5s的销量也会迎来第二春 iphone作为手机行业的风向标 不知道会不会引起其他手机厂商的跟风效仿 一大波小屏手机正在路上。。。	FAVOR	我相信随着 的发布 的销量也会迎来第二春 作为手机行业的风向标 不知道会不会引起其他手机厂商的跟风效仿 一大波小屏手机正在路上 	我,相信,随着,的,发布,的,销量,也,会,迎来,第二,春,作为,手机,行业,的,风向,风向标,不知,知道,会,不会,引起,其他,手机,厂商,的,跟风,效仿,一大,大波,小,屏,手机,正在,路上
31	IphoneSE	更加的让我们觉得这价格平民化，吸引更多人买买买	FAVOR	更加的让我们觉得这价格平民化 吸引更多人买买买	更加,的,让,我们,觉得,这,价格,平民,平民化,吸引,更多,人,买买,买买
32	IphoneSE	不能使用储存扩展卡，是我不选苹果的唯一原因，差评！	AGAINST	不能使用储存扩展卡 是我不选苹果的唯一原因 差评 	不能,使用,储存,扩展,扩展卡,是,我,不,选,苹果,的,唯一,原因,差,评
33	IphoneSE	硬件升级了 适合小屏用户 精巧 流畅 价格也比较亲民了 要是这个机做成无边框的时候 那就更好了 绝对比6好卖 可惜了 电池续航可以 拍照给力 屏幕效果这些都跟上现在的机子了 就是设计上没有变化 欠缺	AGAINST	硬件升级了 适合小屏用户 精巧 流畅 价格也比较亲民了 要是这个机做成无边框的时候 那就更好了 绝对比 好卖 可惜了 电池续航可以 拍照给力 屏幕效果这些都跟上现在的机子了 就是设计上没有变化 欠缺	硬件,升级,了,适合,小,屏,用户,精巧,流畅,价格,也,比较,亲,民,了,要是,这个,机,做成,无边,边框,的,时候,那,就,更好,了,绝对,对比,好,卖,可惜,了,电池,续航,可以,拍照,给,力,屏幕,效果,这些,都,跟上,现在,的,机子,了,就是,设计,上,没有,有变,变化,欠缺
34	IphoneSE	没错我爱上了iPhone SE	FAVOR	没错我爱上了 	没错,我,爱,上,了
35	IphoneSE	一直想买小屏手机，iphone se来的太及时。所以我这个用了两年的老人机为什么还不坏[拜拜]，我都不能理直气壮的找我爸要求换手机	FAVOR	一直想买小屏手机 来的太及时 所以我这个用了两年的老人机为什么还不坏 拜拜 我都不能理直气壮的找我爸要求换手机	一直,想买,小,屏,手机,来,的,太,及时,所以,我,这个,用,了,两年,的,老人,人机,为什么,什么,还,不坏,拜拜,我,都,不能,理直气壮,的,找,我,爸,要求,换手,手机
36	IphoneSE	使用一个多星期..一切正常..速度是比6快一点..就是买了个16G的...空间太捉急..	NONE	使用一个多星期 一切正常 速度是比 快一点 就是买了个 的 空间太捉急 	使用,一个,一个多,多星期,星期,一切,一切正常,正常,速度,是,比,快,一点,就是,买,了,个,的,空间,太,捉,急
37	IphoneSE	从2007年到现在，苹果已经推出了10多款iPhone，而在这些手机中，iPhone 5s的颜值绝对能排到前三，或许是基于这个原因，iPhone SE基本保持了与iPhone 5s一样的外形，同时加入了玫瑰金配色。iPhone SE将于3月29日在内地首发，售价是3288元起，你会第一时间买吗？	FAVOR	从 年到现在 苹果已经推出了 多款 而在这些手机中 的颜值绝对能排到前三 或许是基于这个原因 基本保持了与 一样的外形 同时加入了玫瑰金配色 将于 月 日在内地首发 售价是 元起 你会第一时间买吗 	从,年,到,现在,苹果,已经,推出,了,多款,而,在,这些,手机,中,的,颜,值,绝对,能,排到,前,三,或许,是,基于,这个,原因,基本,保持,了,与,一样,的,外形,同时,加入,了,玫瑰,金,配色,将,于,月,日,在内,内地,首发,售价,是,元,起,你,会,第一,一时,一时间,时间,买,吗
38	IphoneSE	还行吧 就是屏幕太小 每打一个字母 都要重复几次才正确 别说 这段话我打了二十多分钟才打完🙄😤	AGAINST	还行吧 就是屏幕太小 每打一个字母 都要重复几次才正确 别说 这段话我打了二十多分钟才打完 	还行,吧,就是,屏幕,太小,每,打,一个,字母,都,要,重复,几次,才,正确,别说,这段,这段话,我,打,了,二十,二十多,二十多分钟,十多,十多分,十多分钟,多分,多分钟,分钟,才,打完
39	IphoneSE	尴尬: iPhone SE发售日苹果零售店门前冷清：果然喜欢小屏手机的都是小众，你身边有意向买这款新手机的人多吗？	AGAINST	尴尬 发售日苹果零售店门前冷清 果然喜欢小屏手机的都是小众 你身边有意向买这款新手机的人多吗 	尴尬,发售,发售日,苹果,零售,零售店,店门,门前,冷清,果然,喜欢,小,屏,手机,的,都,是,小众,你,身边,有意,意向,买,这款,新手,新手机,手机,的,人,多,吗
40	IphoneSE	有廉价好用的中国货，再高价买屏幕那么小，价格那么高的SE是不是傻？	AGAINST	有廉价好用的中国货 再高价买屏幕那么小 价格那么高的 是不是傻 	有,廉价,好,用,的,中国,国货,再,高价,买,屏幕,那么,小,价格,那么,高,的,是不是,不是,傻
41	IphoneSE	已经成功的吸引我了	FAVOR	已经成功的吸引我了	已经,成功,的,吸引,我,了
42	IphoneSE	生活不止眼前的苟且我还关心3个小时后的iPhonese好会卖成什么样子	FAVOR	生活不止眼前的苟且我还关心 个小时后的 好会卖成什么样子	生活,不止,眼前,的,苟且,我,还,关心,个,小时,后,的,好,会,卖,成,什么,什么样,样子
43	IphoneSE	买了se感觉得买个平板	AGAINST	买了 感觉得买个平板	买,了,感觉,觉得,买,个,平板
44	IphoneSE	64GB版iPhone SE印度售价确认:竟然比6s贵：即便 iPhone SE 史上最便宜，但到了印度就不灵了，价格甚至比当地的 iPhone 6s 还高。	NONE	 版 印度售价确认 竟然比 贵 即便 史上最便宜 但到了印度就不灵了 价格甚至比当地的 还高 	版,印度,售价,确认,竟然,比,贵,即便,史,上,最,便宜,但,到,了,印度,就,不灵,了,价格,甚至,比,当地,的,还,高
45	IphoneSE	智能手机是电话短信和影音娱乐一体的，那肯定要屏幕大一点的。你现在出这么个功能机的小屏幕，配置超过苹果6的了，让苹果6情何以堪？！	AGAINST	智能手机是电话短信和影音娱乐一体的 那肯定要屏幕大一点的 你现在出这么个功能机的小屏幕 配置超过苹果 的了 让苹果 情何以堪 	智能,智能手机,能手,手机,是,电话,短信,和,影音,娱乐,一体,的,那,肯定,定要,屏幕,大,一点,的,你,现在,出,这么,个,功能,机,的,小,屏幕,配置,超过,苹果,的,了,让,苹果,情,何以,何以堪
46	IphoneSE	iPhoneSE真是一款有诚意的作品 SE=sorry everyone	AGAINST	 真是一款有诚意的作品 	真是,一款,有,诚意,的,作品
47	IphoneSE	经过两个多月的猜测，iPhoneSE虽有小惊喜，但也与行业的猜测没有什么大出入。把iPhone6s的性能配置，放进了iPhone5S的外形中，iPhoneSE有了一种重拾经典的意味	FAVOR	经过两个多月的猜测 虽有小惊喜 但也与行业的猜测没有什么大出入 把 的性能配置 放进了 的外形中 有了一种重拾经典的意味	经过,两个,多月,的,猜测,虽有,小,惊喜,但,也,与,行业,的,猜测,没有,什么,大,出入,把,的,性能,配置,放进,了,的,外形,中,有,了,一种,重拾,经典,的,意味
48	IphoneSE	iPhone 6是个尴尬的存在，iPhone SE性能和功能上都和iPhone 6s旗鼓相当了，价格比Apple官方在售的iPhone 6还要低	AGAINST	 是个尴尬的存在 性能和功能上都和 旗鼓相当了 价格比 官方在售的 还要低	是,个,尴尬,的,存在,性能,和,功能,上,都,和,旗鼓,旗鼓相当,相当,当了,价格,价格比,官方,在,售,的,还要,低
49	IphoneSE	加拿大皇家银行分析师Amit Daryanani已经对iPhone SE物料成本(16GB版本)进行了核算，其成本价格居然在260美元左右，这多少有点出乎意料。	NONE	加拿大皇家银行分析师 已经对 物料成本 版本 进行了核算 其成本价格居然在 美元左右 这多少有点出乎意料 	加拿,加拿大,皇家,银行,分析,分析师,已经,对,物料,成本,版本,进行,了,核算,其,成本,成本价,本价,价格,居然,在,美元,左右,这,多少,少有,有点,点出,出乎,出乎意料,意料
50	IphoneSE	刚入却没法正常使用的#iPhoneSE# 平时不发出声音也会弹siri,且退不出关不掉，关掉siri后会出现语音控制界面，今天拿去苹果售后检测没有任何问题，而且home键估计也不怎么好用,重装系统两次然而并没有卵用	AGAINST	刚入却没法正常使用的 平时不发出声音也会弹 且退不出关不掉 关掉 后会出现语音控制界面 今天拿去苹果售后检测没有任何问题 而且 键估计也不怎么好用 重装系统两次然而并没有卵用	刚,入,却,没法,正常,使用,的,平时,不,发出,发出声音,出声,声音,也,会弹,且,退,不出,出关,不掉,关掉,后会,出现,语音,控制,界面,今天,拿,去,苹果,售后,检测,没有,任何,问题,而且,键,估计,也,不怎么,怎么,好,用,重装,重装系统,系统,两次,然而,并,没有,卵,用
51	IphoneSE	苹果今天凌晨推出了回归小屏之作——4英寸iPhone SE，就外观来说，该机并没有带来惊喜，因为它跟iPhone5s几乎完全一样，但这并不意味着是一件坏事，因为不少消费者表示该设计是比较经典的	NONE	苹果今天凌晨推出了回归小屏之作 英寸 就外观来说 该机并没有带来惊喜 因为它跟 几乎完全一样 但这并不意味着是一件坏事 因为不少消费者表示该设计是比较经典的	苹果,今天,凌晨,推出,了,回归,小,屏,之,作,英寸,就,外观,来说,该机,并,没有,带来,惊喜,因为,它,跟,几乎,完全,一样,但,这,并,不意,意味,意味着,是,一件,坏事,因为,不少,消费,消费者,表示,该,设计,是,比较,经典,的
52	IphoneSE	怪不得已爬楼层没有数据，原来是#iPhoneSE# 没有气压计！	AGAINST	怪不得已爬楼层没有数据 原来是 没有气压计 	怪不得,不得,不得已,爬楼,楼层,没有,有数,数据,原来,是,没有,气压,气压计
53	IphoneSE	苹果推出iPhone SE，短期利好，长期利空。从短期来看，会提升产品销量，进一步提升销售额和盈利水平。但这一举动无疑和苹果做极致产品的文化和战略是相违背的，苹果逐渐不那么高傲了！	NONE	苹果推出 短期利好 长期利空 从短期来看 会提升产品销量 进一步提升销售额和盈利水平 但这一举动无疑和苹果做极致产品的文化和战略是相违背的 苹果逐渐不那么高傲了 	苹果,推出,短期,利好,长期,利空,从,短期,来看,会,提升,产品,销量,进一步,一步,提升,销售,销售额,和,盈利,利水,水平,但,这,一举,举动,无疑,和,苹果,做,极致,产品,的,文化,和,战略,是,相违,违背,的,苹果,逐渐,不,那么,高傲,了
54	IphoneSE	各路人马早已放出关于苹果春季发布会的种种消息，这一次苹果不再“比大更大”，反而要推出更小的iPhoneSE和iPad Pro。要想理解苹果为什么要“往回走”，从苹果的用户群变化来研究或许是最好的着手点。	NONE	各路人马早已放出关于苹果春季发布会的种种消息 这一次苹果不再 比大更大 反而要推出更小的 和 要想理解苹果为什么要 往回走 从苹果的用户群变化来研究或许是最好的着手点 	各路,各路人马,路人,人马,早已,放出,出关,关于,苹果,春季,发布,发布会,的,种种,消息,这,一次,苹果,不再,比,大,更,大,反而,而要,推出,更,小,的,和,要,想,理解,苹果,为什么,什么,要,往回,回走,从,苹果,的,用户,用户群,变化,来,研究,或许,是,最好,的,着手,点
55	IphoneSE	国行价格还是有些坑，港行应该会很有吸引力。3000+甚至4000+的国产机可能日子不好过了。不过苹果并没有说电池，内存，续航对比时候用的一项也是3G时长，感觉有猫腻	AGAINST	国行价格还是有些坑 港行应该会很有吸引力 甚至 的国产机可能日子不好过了 不过苹果并没有说电池 内存 续航对比时候用的一项也是 时长 感觉有猫腻	国,行,价格,还是,有些,坑,港,行,应该,该会,很,有,吸引,吸引力,引力,甚至,的,国产,国产机,可能,日子,不好,不好过,了,不过,苹果,并,没有,说,电池,内存,续航,对比,时候,用,的,一项,也,是,时长,感觉,有,猫腻
56	IphoneSE	SE，小手无法掌握那么大的手机	FAVOR	 小手无法掌握那么大的手机	小手,无法,掌握,那么,大,的,手机
57	IphoneSE	简直的不能太棒，更新升级我都不爱，就喜欢稳定性	FAVOR	简直的不能太棒 更新升级我都不爱 就喜欢稳定性	简直,的,不能,太棒,更新,新升,升级,我,都,不,爱,就,喜欢,稳定,稳定性,定性
58	IphoneSE	SE入手一个星期使用感受：单手持握的体验真的太美好了！	FAVOR	 入手一个星期使用感受 单手持握的体验真的太美好了 	入手,一个,星期,使用,感受,单手,手持,握,的,体验,真的,太美,美好,了
59	IphoneSE	已用21天，爽哭…	FAVOR	已用 天 爽哭 	已用,天,爽,哭
60	IphoneSE	iphonese这么白菜？买一个回去给姥姥？	FAVOR	 这么白菜 买一个回去给姥姥 	这么,白菜,买,一个,回去,给,姥姥
61	IphoneSE	se虽然性价比高，但是5s外观没法装逼了，还是等七吧	AGAINST	 虽然性价比高 但是 外观没法装逼了 还是等七吧	虽然,性价比,价比高,比高,但是,外观,没法,装,逼,了,还是,等,七,吧
62	IphoneSE	尽管它可能不会打破什么销量纪录，但应该不会再像iPhone 5c一样以惨淡结局收场了。	NONE	尽管它可能不会打破什么销量纪录 但应该不会再像 一样以惨淡结局收场了 	尽管,它,可能,不会,打破,什么,销量,纪录,但,应该,不会,再,像,一样,以,惨淡,结局,收场,了
63	IphoneSE	惯了大屏手机 #iPhoneSE# 这小手机放兜里总怕丢了 感受不到它的存在	AGAINST	惯了大屏手机 这小手机放兜里总怕丢了 感受不到它的存在	惯,了,大,屏,手机,这,小手,手机,放,兜里,总怕,丢,了,感受,不到,它,的,存在
64	IphoneSE	iPhonese 三星盖乐世S7/S7edge、vivoX5play OPPO R9 meizu pro6 华为P9 zuk 乐视max2都相继问世 堪称手机世界大战啊	NONE	 三星盖乐世 华为 乐视 都相继问世 堪称手机世界大战啊	三星,盖,乐,世,华为,乐,视,都,相继,相继问世,问世,堪称,称手,手机,世界,世界大战,大战,啊
65	IphoneSE	iPhone SE自发布以来频频爆出小问题，如黄屏、摄像头金进灰、边缘触控不灵敏等。近日又有外媒机构测试了iPhone SE的硬度，在经过一系列测试后发现其耐用度可能不如4.7英寸的iPhone 6s和5.5英寸的iPhone 6s Plus。	NONE	 自发布以来频频爆出小问题 如黄屏 摄像头金进灰 边缘触控不灵敏等 近日又有外媒机构测试了 的硬度 在经过一系列测试后发现其耐用度可能不如 英寸的 和 英寸的 	自发,发布,以来,频频,爆出,小,问题,如,黄,屏,摄像,摄像头,像头,金,进,灰,边缘,触,控,不灵,不灵敏,灵敏,等,近日,又,有,外,媒,机构,测试,了,的,硬度,在,经过,一系,一系列,系列,测试,后发,发现,其,耐用,耐用度,用度,可能,不如,英寸,的,和,英寸,的
66	IphoneSE	除了芯片升级，其他的就没什么东西，忽悠人，价格又不便宜，出来就是个怪物，苹果想救市，就用心，拿点新东西出来。现在不是五年前，钱好赚，肾好卖	AGAINST	除了芯片升级 其他的就没什么东西 忽悠人 价格又不便宜 出来就是个怪物 苹果想救市 就用心 拿点新东西出来 现在不是五年前 钱好赚 肾好卖	除了,芯片,升级,其他,的,就,没什么,什么,东西,忽悠,人,价格,又,不便,便宜,出来,就是,个,怪物,苹果,想,救市,就,用心,拿,点,新东,东西,出来,现在,不是,五年,年前,钱,好赚,肾,好,卖
67	IphoneSE	流畅度好，拍照清楚，支持4k	FAVOR	流畅度好 拍照清楚 支持 	流畅,度,好,拍照,清楚,支持
68	IphoneSE	和之前用的5S长的一样，没有购买欲！由于内存不足，拍个照就提醒，烦死了。我最后抓狂了。买了Iphone6S plus～坦白说，还是5S手感好。	AGAINST	和之前用的 长的一样 没有购买欲 由于内存不足 拍个照就提醒 烦死了 我最后抓狂了 买了 坦白说 还是 手感好 	和,之前,用,的,长,的,一样,没有,购买,购买欲,由于,内存,内存不足,不足,拍,个,照,就,提醒,烦死,了,我,最后,抓狂,了,买,了,坦白,坦白说,还是,手感,好
69	IphoneSE	不光是屏幕更小 iPhone SE的指纹识别和屏幕显示都比6s差 也就是说iPhoneSE的指纹传感器与屏幕素质都不及iPhone 6s。	AGAINST	不光是屏幕更小 的指纹识别和屏幕显示都比 差 也就是说 的指纹传感器与屏幕素质都不及 	不光,光是,屏幕,更,小,的,指纹,指纹识别,识别,和,屏幕,屏幕显示,显示,都,比,差,也就是说,就是,就是说,的,指纹,传感,传感器,感器,与,屏幕,素质,都,不及
70	IphoneSE	可以睡了，iPhoneSE和5s基本外观一样，多了一个玫瑰金，性能大约是5s的两倍和6s差不多，但相比6s少了很多功能	AGAINST	可以睡了 和 基本外观一样 多了一个玫瑰金 性能大约是 的两倍和 差不多 但相比 少了很多功能	可以,睡,了,和,基本,外观,一样,多,了,一个,玫瑰,金,性能,大约,是,的,两倍,和,差不多,不多,但,相比,少,了,很多,多功能,功能
71	IphoneSE	iphoneSE 还是不错的。有闲钱的真的可以买。当5S使，低调而富有内涵。	FAVOR	 还是不错的 有闲钱的真的可以买 当 使 低调而富有内涵 	还是,不错,的,有闲,闲钱,的,真的,可以,买,当,使,低调,而,富有,内涵
