ID	TARGET	TEXT	CLEAN_SENTENCES	SEGMENT_SENTENCES
23	IphoneSE	用惯“大屏”手机就一定回不去了吗？对我来说答案是否定的。相反，“小屏”手机这久违的手感是“大屏”永远体会不到的。iPhone SE代表了IOS手机设备里的“小屏”典范。而对于安卓阵营来说，一款兼具性能与颜值的“小屏”典范会出自哪家之手呢？值得期待！	用惯 大屏 手机就一定回不去了吗 对我来说答案是否定的 相反 小屏 手机这久违的手感是 大屏 永远体会不到的 代表了 手机设备里的 小屏 典范 而对于安卓阵营来说 一款兼具性能与颜值的 小屏 典范会出自哪家之手呢 值得期待 	用惯,大,屏,手机,就,一定,回不去,了,吗,对,我,来说,答案,是否,否定,的,相反,小,屏,手机,这,久违,的,手感,是,大,屏,永远,体会,不到,的,代表,了,手机,机设,机设备,设备,里,的,小,屏,典范,而,对于,安,卓,阵营,来说,一款,兼具,性能,与,颜,值,的,小,屏,典范,会,出自,哪家,之,手,呢,值得,期待
24	IphoneSE	我这用了10天了还是黄	我这用了 天了还是黄	我,这,用,了,天,了,还是,黄
25	IphoneSE	同是新品不同命运: iPhone SE芯片没有降频：再加上运行内存是2GB，这次苹果真的有点令人感到意外。http://t.cn/RGsILsc	同是新品不同命运 芯片没有降频 再加上运行内存是 这次苹果真的有点令人感到意外 	同是,新品,不同,同命,同命运,命运,芯片,没有,降频,再加,加上,运行,行内,内存,是,这次,苹果,果真,真的,有点,令人,感到,意外
26	IphoneSE	苹果想在印度发展? 翻新/老款 iPhone 是关键：在印度市场，16GB 版本的 iPhone SE 价格为 39000 卢比(约合人民币 3800 元)，这个价格不太可能吸引那些对价格敏感的用户。http://t.cn/RqbXmRP	苹果想在印度发展 翻新 老款 是关键 在印度市场 版本的 价格为 卢比 约合人民币 元 这个价格不太可能吸引那些对价格敏感的用户 	苹果,想,在,印度,发展,翻新,老,款,是,关键,在,印度,市场,版本,的,价格,为,卢比,约合,人民,人民币,元,这个,价格,不太可能,可能,吸引,那些,对,价格,敏感,的,用户
27	IphoneSE	用了不到一个月的SE，今中午就在蛋糕店门口，趁我掏伞的一会儿，被偷了，偷了，了。然后查找iPhone一直是离线。强烈建议iPhone应该关机也要密码，除非没电。	用了不到一个月的 今中午就在蛋糕店门口 趁我掏伞的一会儿 被偷了 偷了 了 然后查找 一直是离线 强烈建议 应该关机也要密码 除非没电 	用,了,不到,一个,一个月,的,今,中午,就,在,蛋糕,蛋糕店,店门,店门口,门口,趁,我,掏,伞,的,一会,一会儿,会儿,被,偷,了,偷,了,了,然后,查找,一直,是,离线,强烈,强烈建议,建议,应该,关机,也,要,密码,除非,没电
28	IphoneSE	注意了！iPhone 5/5s 或被翻新成iPhone SE：大家在购买新iPhone的时候，切勿贪小便宜。http://t.cn/RqZXjIw	注意了 或被翻新成 大家在购买新 的时候 切勿贪小便宜 	注意,了,或,被,翻新,成,大家,在,购买,新,的,时候,切勿,贪小,贪小便宜,小便,小便宜,便宜
29	IphoneSE	黄屏用段时间就消很多了，CPU摄像头都和6S基本一样。除了屏幕，3D touch。前摄像头。比当年5C好多了，用三年前的零件，iPhone有史以来最性价比的就是iPhone SE。	黄屏用段时间就消很多了 摄像头都和 基本一样 除了屏幕 前摄像头 比当年 好多了 用三年前的零件 有史以来最性价比的就是 	黄,屏,用,段时间,时间,就,消,很多,了,摄像,摄像头,像头,都,和,基本,一样,除了,屏幕,前,摄像,摄像头,像头,比,当年,好多,了,用,三年,年前,的,零件,有史以来,以来,最,性价比,的,就是
30	IphoneSE	一直纠结要买16还是64的，看了你的，果断入手64	一直纠结要买 还是 的 看了你的 果断入手 	一直,纠结,要,买,还是,的,看,了,你,的,果断,入手
31	IphoneSE	明天就是愚人节了 大家能不能玩点有些技术含量的 例如给我充话费让我猜猜谁充的 给我寄一箱好吃的让我猜猜谁给的 把iphone se 放在我口袋里让我猜猜谁干的 拿一摞大钞扔我让我猜猜谁砸的 这些都是可以的 年轻人不要老是一成不变的套路 要有创新精神 明天我不希望看到你们毫无长进	明天就是愚人节了 大家能不能玩点有些技术含量的 例如给我充话费让我猜猜谁充的 给我寄一箱好吃的让我猜猜谁给的 把 放在我口袋里让我猜猜谁干的 拿一摞大钞扔我让我猜猜谁砸的 这些都是可以的 年轻人不要老是一成不变的套路 要有创新精神 明天我不希望看到你们毫无长进	明天,就是,愚人,愚人节,了,大家,能,不能,玩,点,有些,技术,技术含量,含量,的,例如,给,我,充,话费,让,我,猜猜,谁,充,的,给,我,寄,一箱,好吃,的,让,我,猜猜,谁,给,的,把,放在,我,口袋,里,让,我,猜猜,谁,干,的,拿,一摞,大钞,扔,我,让,我,猜猜,谁,砸,的,这些,都,是,可以,的,年轻,年轻人,不要,老,是,一成,一成不变,不变,的,套路,要,有,创新,精神,明天,我,不,希望,看到,你们,毫无,长进
32	IphoneSE	iphone SE，4寸王者，没有之一！	 寸王者 没有之一 	寸,王者,没有,之一
33	IphoneSE	最强备用，单手好用。	最强备用 单手好用 	最强,备用,单手,好,用
34	IphoneSE	虽零件与旧机型相同但 iPhone SE 利润不高：尽管外界认为苹果最新发布的 iPhone SE 多数零部件来自旧款 iPhone，但有分析师认为，iPhone SE 的利润率和 iPhone 6s 一样相对较低。http://t.cn/Rq2o6eL	虽零件与旧机型相同但 利润不高 尽管外界认为苹果最新发布的 多数零部件来自旧款 但有分析师认为 的利润率和 一样相对较低 	虽,零件,与,旧,机型,相同,但,利润,不,高,尽管,管外,外界,认为,苹果,最新,新发,发布,的,多数,零部件,部件,来自,旧,款,但有,分析,分析师,认为,的,利润,利润率,和,一样,相对,较,低
35	IphoneSE	快一个月没现货我找谁去，联通合约等不到天黑	快一个月没现货我找谁去 联通合约等不到天黑	快,一个,一个月,没,现货,我,找,谁,去,联通,合约,等,不到,天黑
36	IphoneSE	要依靠中国?iPhone SE激不起美国人购买欲：已经习惯使用4.7英寸或更大尺寸的手机，也许真的很难再退回来了。http://t.cn/RqvwevA	要依靠中国 激不起美国人购买欲 已经习惯使用 英寸或更大尺寸的手机 也许真的很难再退回来了 	要,依靠,中国,激,不,起,美国,国人,购买,购买欲,已经,习惯,使用,英寸,或,更,大,尺寸,的,手机,也许,真的,很,难,再,退回,退回来,回来,了
37	IphoneSE	傳言這次iphone會取消home鍵，莫非要採用虛擬按鍵，那下面那排空白的地方該不會要塞一個蘋果的logo吧，雖然這次se低價手機蠻成功的，但是iphone 7如果沒有端出新創意願意買單的應該很少吧。	傳言這次 會取消 鍵 莫非要採用虛擬按鍵 那下面那排空白的地方該不會要塞一個蘋果的 吧 雖然這次 低價手機蠻成功的 但是 如果沒有端出新創意願意買單的應該很少吧 	傳,言,這,次,會,取消,鍵,莫非,非要,採,用,虛,擬,按,鍵,那,下面,那,排空,空白,的,地方,該,不,會,要塞,一,個,蘋,果,的,吧,雖,然,這,次,低,價,手,機,蠻,成功,的,但是,如果,沒,有,端出,出新,創,意,願,意,買,單,的,應,該,很少,吧
38	IphoneSE	个人感觉iPhone SE的续航能跟iPhone 6sp有一拼呀，下午很有兴趣想出去测一下	个人感觉 的续航能跟 有一拼呀 下午很有兴趣想出去测一下	个人,个人感觉,感觉,的,续航,能,跟,有,一,拼,呀,下午,很,有,兴趣,想出,出去,测,一下
39	IphoneSE	微博第一个送20台iPhone SE！只要关注淘宝唯一的五金冠情趣店（连续6年销量第一）醉清风的创始人 @醉清风老杨 @趣女郎 @醉清风的情趣世界 。转发此微博并at3个好友。4月16日用@微博抽奖平台   ，抽出20个懂生活有情调的人，每人送1台iPhone SE！	微博第一个送 台 只要关注淘宝唯一的五金冠情趣店 连续 年销量第一 醉清风的创始人 醉清风老杨 趣女郎 醉清风的情趣世界 转发此微博并 个好友 月 日用 微博抽奖平台 抽出 个懂生活有情调的人 每人送 台 	微,博,第一,第一个,一个,送,台,只要,关注,淘宝,唯一,的,五金,金冠,情趣,店,连续,年销量,销量,第一,醉,清风,的,创始,创始人,醉,清风,老,杨,趣,女郎,醉,清风,的,情趣,世界,转发,此,微,博,并,个,好友,月,日用,微,博,抽奖,平台,抽出,个,懂,生活,有情,情调,的,人,每人,送,台
40	IphoneSE	我买的是港行 觉得有渠道买港行的 都不会选国行吧 而且我相信香港数据里的很多应该都是水客买的	我买的是港行 觉得有渠道买港行的 都不会选国行吧 而且我相信香港数据里的很多应该都是水客买的	我,买,的,是,港,行,觉得,得有,渠道,买,港,行,的,都,不会,选,国,行,吧,而且,我,相信,信香,香港,数据,里,的,很多,应该,都,是,水客,买,的
41	IphoneSE	【史上最贵的iPhone SE闪瞎眼：500000元】奢侈品定制厂商Grisogono贴心的送上了服务，其重新定制了iPhone SE，起售价为1500英镑(约人民币13780元)，整个机身采用了24K镀金。还有更贵的，机身采用18K纯金，同时边框镶嵌了总计5.5克拉的钻石，售价约人民币50万元，应该是目前最贵的iPhone SE了吧。	 史上最贵的 闪瞎眼 元 奢侈品定制厂商 贴心的送上了服务 其重新定制了 起售价为 英镑 约人民币 元 整个机身采用了 镀金 还有更贵的 机身采用 纯金 同时边框镶嵌了总计 克拉的钻石 售价约人民币 万元 应该是目前最贵的 了吧 	史,上,最贵,的,闪,瞎眼,元,奢侈,奢侈品,定制,厂商,贴心,的,送,上,了,服务,其,重新,新定,定制,了,起,售价,为,英镑,约人,人民,人民币,元,整个,机身,采用,了,镀金,还有,更,贵,的,机身,采用,纯金,同时,边框,镶嵌,了,总计,克拉,的,钻石,售价,约人,人民,人民币,万元,应该,该是,目前,最贵,的,了,吧
42	IphoneSE	【苹果推出iPhone SE 抢夺中端市场】3月22日，在一场被网友吐槽毫无亮点的发布会上，苹果正式发布了iPhone SE。这款披着iPhone 5S外壳却拥有iPhone 6S性能的手机肩负的使命显然就是抢占中端市场，而最受冲击的恐怕就是正在努力冲击中高端市场的国产手机厂商。iPhone SE 16GB版本售价人民币3288元，64GB	 苹果推出 抢夺中端市场 月 日 在一场被网友吐槽毫无亮点的发布会上 苹果正式发布了 这款披着 外壳却拥有 性能的手机肩负的使命显然就是抢占中端市场 而最受冲击的恐怕就是正在努力冲击中高端市场的国产手机厂商 版本售价人民币 元 	苹果,推出,抢夺,中,端,市场,月,日,在,一场,被,网友,吐,槽,毫无,无亮点,亮点,的,发布,发布会,会上,苹果,正式,发布,了,这款,披着,外壳,却,拥有,性能,的,手机,肩负,的,使命,显然,就是,抢占,中,端,市场,而,最,受,冲击,的,恐怕,就是,正在,努力,冲击,击中,中高,高端,市场,的,国产,国产手机,手机,厂商,版本,售价,人民,人民币,元
43	IphoneSE	【苹果发布iPhone SE 酷似iPhone 5s】苹果今晨发布iPhone SE，外型酷似5s，性能翻倍；4英寸屏幕搭载A9处理器，后置1200万像素摄像头，支持Live Photos与Apple Pay，不支持3D Touch；3月24日开始预订，3月31日正式开售，中国首发！16GB和64GB国行售价分别为3288元和4088元。http://t.cn/RGk5TBS	 苹果发布 酷似 苹果今晨发布 外型酷似 性能翻倍 英寸屏幕搭载 处理器 后置 万像素摄像头 支持 与 不支持 月 日开始预订 月 日正式开售 中国首发 和 国行售价分别为 元和 元 	苹果,发布,酷似,苹果,今晨,发布,外型,酷似,性能,翻倍,英寸,屏幕,搭载,处理,处理器,理器,后置,万,像素,摄像,摄像头,像头,支持,与,不支,支持,月,日,开始,预订,月,日,正式,开售,中国,首发,和,国,行,售价,分别,为,元,和,元
44	IphoneSE	为什么苹果的trade in选项没有iPhone 6 trade in for iPhone SE？…默认是降级了么？…可是我这破手机在国内就是一块砖啊	为什么苹果的 选项没有 默认是降级了么 可是我这破手机在国内就是一块砖啊	为什么,什么,苹果,的,选项,没有,默认,是,降级,了,么,可是,我,这,破,手机,在,国内,就是,一块,块砖,啊
45	IphoneSE	【不仅发布新机 苹果今晚还悄悄上架了几款新配件】在刚刚结束的发布会中，苹果发布了四英寸新机 iPhone SE 和 9.7 英寸的 iPad Pro。但在发布会结束之后，苹果官方商店上架了一些在发布会中没有提到的新配件。如果你对两款新机没有太大兴趣，不妨看看这些新款配件。http://t.cn/RGkai9H	 不仅发布新机 苹果今晚还悄悄上架了几款新配件 在刚刚结束的发布会中 苹果发布了四英寸新机 和 英寸的 但在发布会结束之后 苹果官方商店上架了一些在发布会中没有提到的新配件 如果你对两款新机没有太大兴趣 不妨看看这些新款配件 	不仅,发布,新机,苹果,今晚,还,悄悄,上架,了,几款,新,配件,在,刚刚,结束,的,发布,发布会,中,苹果,发布,了,四,英寸,新机,和,英寸,的,但,在,发布,发布会,结束,之后,苹果,官方,商店,上架,了,一些,在,发布,发布会,中,没有,提到,的,新,配件,如果,你,对,两款,新机,没有,太大,大兴,兴趣,不妨,看看,这些,新款,配件
46	IphoneSE	你以为iPhone SE卖便宜 它就挣得少了吗？：iPhone SE 并不像外界说的那样，因为售价便宜，因此利润率大幅降低。http://t.cn/RqUaOGF	你以为 卖便宜 它就挣得少了吗 并不像外界说的那样 因为售价便宜 因此利润率大幅降低 	你,以为,卖,便宜,它,就,挣得,少,了,吗,并,不,像,外界,说,的,那样,因为,售价,便宜,因此,利润,利润率,大幅,降低
47	IphoneSE	把iPhone SE喊成5se或6se的能稍微了解一下科技新闻吗…	把 喊成 或 的能稍微了解一下科技新闻吗 	把,喊成,或,的,能,稍微,了解,一下,科技,新闻,吗
48	IphoneSE	用 iOS 看不起 Android 就算了，明知道手机不好用天天骂，不早点换个称手的，不喜欢 iPhone 么，se 不贵啊去买啊，KOL 了不起死了一样。	用 看不起 就算了 明知道手机不好用天天骂 不早点换个称手的 不喜欢 么 不贵啊去买啊 了不起死了一样 	用,看不起,就算,算了,明知,知道,手机,不好,用,天天,骂,不早,早点,换,个,称手,的,不,喜欢,么,不贵,啊,去,买,啊,了不起,死,了,一样
49	IphoneSE	看着iphone SE和5S的几乎一模一样的外形，真心无法分辨它们。当然希望商人们还没有那些奸商来干改装的缺德事。不过，我想苹果官网肯定是正宗的卖家。	看着 和 的几乎一模一样的外形 真心无法分辨它们 当然希望商人们还没有那些奸商来干改装的缺德事 不过 我想苹果官网肯定是正宗的卖家 	看着,和,的,几乎,一模一样,一样,的,外形,真心,无法,分辨,它们,当然,希望,商人,人们,还,没有,那些,奸商,来,干,改装,的,缺德,缺德事,不过,我,想,苹果,官,网,肯定,是,正宗,的,卖家
